Quantita Prodotto A;Quantita Prodotto B;Quantita Prodotto C;Tempo per unita Prodotto A;Tempo per unita  Prodotto B;Tempo per unita Prodotto C;Capacita giornaliera Prodotto A;Capacita giornaliera Prodotto B;Capacita giornaliera Prodotto C;Capacita complessiva;Probabilita guasto;Guasto Macchina A;Guasto Macchina B;Guasto Macchina C;Ore di fermo Macchina A;Ore di fermo Macchina B;Ore di fermo Macchina C;Ore ritardo approvvigionamento;Giorni minimi per capacita complessiva;Giorni minimi per capacita  del prodotto;Giorni effettivi produzione lotto;Tempo totale di produzione lotto
11;18;19;5.21;6.04;9.36;6;6;10;20;0.3;NO;SI;NO;0;5.81;0;17.9;2.4;3.0;7.41;8.16
10;12;15;9.4;7.41;5.0;7;9;9;19;0.2;NO;NO;SI;0;0;5.44;12.25;1.95;1.67;3.92;4.43
16;11;12;6.9;9.54;8.6;7;10;5;18;0.41;SI;SI;SI;5.51;5.81;3.53;12.71;2.17;2.4;4.83;5.36
12;13;18;8.26;6.41;5.1;7;10;7;18;0.42;NO;SI;NO;0;3.36;0;18.04;2.39;2.57;4.13;4.88
10;19;20;9.67;8.68;7.58;10;10;8;18;0.35;SI;SI;SI;5.76;3.49;3.91;14.5;2.72;2.5;7.02;7.62
13;10;17;6.36;7.04;8.63;6;5;8;14;0.36;SI;NO;NO;3.07;0;0;12.34;2.86;2.17;6.11;6.63
20;18;12;7.05;7.02;9.99;8;7;6;13;0.24;SI;NO;NO;5.31;0;0;22.58;3.85;2.57;6.1;7.04
16;13;12;9.57;6.09;9.92;7;6;7;16;0.41;NO;NO;SI;0;0;3.39;14.88;2.56;2.29;6.38;7.0
12;20;11;7.45;9.13;7.52;9;10;6;11;0.32;NO;SI;NO;0;4.91;0;23.36;3.91;2.0;7.81;8.79
11;13;19;5.05;8.37;8.62;7;6;8;15;0.43;NO;SI;SI;0;3.51;5.31;17.14;2.87;2.38;7.05;7.76
10;17;14;9.03;7.03;5.49;9;6;7;13;0.42;SI;NO;NO;4.67;0;0;16.27;3.15;2.83;4.98;5.66
15;20;15;5.86;9.12;9.3;8;10;9;11;0.21;NO;SI;NO;0;4.19;0;20.12;4.55;2.0;7.77;8.61
12;11;10;5.47;9.25;9.3;7;5;7;14;0.45;NO;NO;NO;0;0;0;13.94;2.36;2.2;4.24;4.82
10;12;20;5.51;6.92;5.05;9;9;8;18;0.33;NO;SI;NO;0;5.33;0;15.78;2.33;2.5;4.21;4.87
11;13;17;6.56;6.45;9.66;6;9;10;20;0.41;NO;SI;NO;0;5.34;0;20.37;2.05;1.83;6.84;7.69
13;19;17;6.81;5.22;8.66;7;5;6;14;0.42;NO;SI;NO;0;4.47;0;20.28;3.5;3.8;6.13;6.98
18;20;20;9.7;5.33;8.89;10;10;6;17;0.41;NO;NO;NO;0;0;0;12.38;3.41;3.33;7.41;7.92
17;16;13;5.96;9.67;9.15;5;8;6;14;0.41;NO;NO;NO;0;0;0;12.1;3.29;3.4;6.45;6.95
10;20;14;8.94;7.45;8.4;9;6;10;16;0.23;NO;NO;NO;0;0;0;13.95;2.75;3.33;6.21;6.79
15;17;13;8.2;6.06;8.15;6;6;10;17;0.26;NO;NO;NO;0;0;0;18.58;2.65;2.83;5.12;5.9
18;19;19;9.15;6.11;9.53;7;8;6;13;0.23;SI;SI;NO;3.36;4.47;0;22.2;4.31;3.17;7.54;8.47
18;17;19;9.27;7.91;7.97;9;10;9;15;0.25;SI;NO;NO;3.42;0;0;16.8;3.6;2.11;7.09;7.79
15;18;18;7.06;6.58;8.68;5;8;8;12;0.42;NO;SI;NO;0;3.23;0;19.42;4.25;3.0;6.51;7.32
19;10;20;5.93;8.22;7.39;8;10;5;13;0.37;NO;NO;SI;0;0;3.56;12.82;3.77;4.0;6.31;6.84
13;13;20;7.59;9.7;8.48;9;10;6;17;0.47;NO;NO;NO;0;0;0;22.39;2.71;3.33;7.07;8.0
10;15;19;7.77;5.77;7.71;8;7;7;19;0.35;SI;SI;SI;5.62;4.76;5.9;22.97;2.32;2.71;6.35;7.31
11;17;10;5.56;7.57;9.99;8;10;8;14;0.21;NO;SI;NO;0;5.53;0;16.39;2.71;1.7;5.59;6.28
17;16;14;6.01;8.78;9.49;6;10;9;12;0.35;NO;NO;SI;0;0;4.37;20.03;3.92;2.83;5.85;6.69
14;16;16;7.13;8.49;6.33;7;10;7;14;0.46;NO;SI;SI;0;3.99;4.54;13.64;3.29;2.29;5.83;6.39
14;15;12;6.6;9.95;7.63;6;9;7;14;0.37;NO;NO;NO;0;0;0;17.36;2.93;2.33;6.22;6.94
20;16;11;7.46;8.73;5.44;7;5;5;10;0.3;NO;SI;NO;0;4.14;0;13.51;4.7;3.2;6.22;6.78
19;17;18;5.99;8.02;9.28;6;6;7;13;0.36;NO;NO;NO;0;0;0;21.9;4.15;3.17;6.96;7.87
13;14;16;6.12;5.45;7.36;5;10;8;10;0.45;NO;SI;NO;0;3.15;0;15.08;4.3;2.6;4.91;5.54
18;17;13;7.7;9.44;7.42;5;10;8;14;0.21;SI;SI;SI;4.3;4.21;4.09;14.46;3.43;3.6;6.86;7.46
16;11;20;5.05;6.34;7.11;9;10;5;11;0.44;SI;NO;SI;5.53;0;5.18;19.21;4.27;4.0;6.14;6.94
17;20;15;9.38;5.23;8.09;10;6;5;19;0.31;NO;NO;NO;0;0;0;12.26;2.74;3.33;6.64;7.16
11;12;18;7.27;8.14;7.61;6;8;9;20;0.48;NO;NO;SI;0;0;5.06;16.59;2.05;2.0;5.92;6.61
17;15;15;8.02;9.49;9.34;7;9;7;14;0.48;NO;NO;SI;0;0;3.73;22.63;3.36;2.43;5.99;6.94
14;10;19;8.86;5.27;6.62;7;7;6;19;0.43;NO;NO;SI;0;0;4.46;12.16;2.26;3.17;5.43;5.93
11;16;14;7.16;7.88;9.18;8;6;6;15;0.32;NO;SI;SI;0;3.57;4.28;13.03;2.73;2.67;5.53;6.08
14;16;11;9.32;9.22;5.56;9;7;9;15;0.49;NO;SI;NO;0;4.2;0;23.64;2.73;2.29;6.32;7.31
11;15;19;8.15;8.84;6.5;10;8;8;20;0.45;NO;NO;SI;0;0;4.91;21.33;2.25;2.38;5.52;6.41
13;13;18;7.5;9.54;7.94;8;9;10;12;0.38;NO;NO;SI;0;0;5.93;13.44;3.67;1.8;6.2;6.76
18;20;16;5.81;5.75;9.31;5;8;8;10;0.33;SI;SI;NO;3.29;5.61;0;12.19;5.4;3.6;6.21;6.71
18;17;17;8.12;8.78;8.4;9;9;9;15;0.26;NO;NO;NO;0;0;0;15.24;3.47;2.0;6.22;6.85
13;12;16;6.59;5.31;5.46;7;9;10;13;0.45;NO;SI;NO;0;4.95;0;16.12;3.15;1.86;3.64;4.31
14;11;10;7.85;6.08;7.0;7;7;8;15;0.43;SI;SI;NO;3.42;5.14;0;21.74;2.33;2.0;4.72;5.63
17;10;18;7.05;6.69;6.81;5;10;8;18;0.32;NO;SI;NO;0;4.57;0;23.68;2.5;3.4;5.11;6.09
15;19;17;6.36;5.3;5.48;6;10;8;14;0.39;NO;NO;SI;0;0;5.28;14.94;3.64;2.5;4.2;4.82
