Quantita Prodotto A;Quantita Prodotto B;Quantita Prodotto C;Tempo per unita Prodotto A;Tempo per unita  Prodotto B;Tempo per unita Prodotto C;Capacita giornaliera Prodotto A;Capacita giornaliera Prodotto B;Capacita giornaliera Prodotto C;Capacita complessiva;Probabilita guasto;Guasto Macchina A;Guasto Macchina B;Guasto Macchina C;Ore di fermo Macchina A;Ore di fermo Macchina B;Ore di fermo Macchina C;Ore ritardo approvvigionamento;Giorni minimi per capacita complessiva;Giorni minimi per capacita  del prodotto;Giorni effettivi produzione lotto;Tempo totale di produzione lotto
12;12;20;3.26;2.57;4.36;20;20;16;23;0.13;NO;NO;NO;0;0;0;15.15;1.91;1.25;3.63;4.26
10;20;14;2.22;3.69;4.62;14;17;12;16;0.15;NO;NO;SI;0;0;2.92;16.62;2.75;1.18;3.07;3.77
10;14;20;3.07;3.26;4.79;20;16;18;17;0.17;NO;NO;SI;0;0;2.11;11.33;2.59;1.11;4.08;4.55
13;12;16;4.09;2.51;2.58;14;18;13;16;0.2;SI;NO;SI;2.27;0;2.9;15.07;2.56;1.23;2.31;3.19
10;20;14;2.57;2.88;2.53;11;13;10;25;0.11;NO;NO;NO;0;0;0;10.07;1.76;1.54;2.4;2.82
14;19;20;4.41;3.85;4.82;16;13;14;22;0.17;NO;NO;NO;0;0;0;9.14;2.41;1.46;4.02;4.4
20;16;14;3.42;3.35;3.56;16;18;13;25;0.14;NO;NO;NO;0;0;0;17.74;2.0;1.25;2.85;3.59
15;19;11;4.63;2.37;2.14;18;16;10;21;0.15;NO;NO;NO;0;0;0;11.82;2.14;1.19;2.89;3.39
13;20;11;2.37;4.22;3.0;12;15;17;24;0.11;NO;NO;NO;0;0;0;11.33;1.83;1.33;3.52;3.99
11;13;13;4.67;4.79;2.53;13;10;10;19;0.13;NO;SI;NO;0;3.83;0;13.93;1.95;1.3;2.75;3.33
18;11;20;3.05;4.06;2.06;14;12;19;25;0.18;NO;NO;SI;0;0;2.46;10.3;1.96;1.29;2.29;2.72
11;16;13;4.11;2.65;2.47;15;16;17;20;0.2;NO;SI;NO;0;2.13;0;15.19;2.0;1.0;1.88;2.63
19;12;19;4.3;3.52;4.1;18;20;16;16;0.13;NO;NO;NO;0;0;0;11.8;3.12;1.19;3.4;3.9
10;13;20;4.21;4.27;2.01;17;13;16;16;0.12;NO;NO;NO;0;0;0;10.08;2.69;1.25;2.31;3.11
19;15;18;2.1;3.29;2.72;13;17;12;23;0.18;NO;NO;NO;0;0;0;16.34;2.26;1.5;2.06;2.94
17;18;13;4.65;2.95;2.8;14;19;14;16;0.15;NO;NO;NO;0;0;0;11.08;3.0;1.21;3.29;3.76
19;17;11;2.37;4.35;4.1;11;11;20;15;0.15;NO;NO;SI;0;0;3.33;12.41;3.13;1.73;3.08;3.65
14;16;10;2.17;2.34;4.52;20;19;10;19;0.11;NO;NO;NO;0;0;0;16.85;2.11;1.0;1.88;2.81
16;17;18;4.51;3.15;3.81;14;11;16;24;0.13;NO;NO;NO;0;0;0;13.8;2.12;1.55;3.01;3.58
14;19;20;4.67;3.48;3.75;11;11;20;19;0.17;NO;NO;NO;0;0;0;15.85;2.79;1.73;3.12;3.79
14;10;16;2.45;3.74;3.68;14;17;15;20;0.18;SI;NO;NO;2.08;0;0;8.51;2.0;1.07;2.45;2.81
20;10;13;3.55;4.38;4.13;12;17;11;15;0.14;NO;NO;SI;0;0;2.71;11.77;2.87;1.67;2.96;3.45
17;12;17;4.82;3.78;3.36;14;20;12;25;0.17;NO;NO;NO;0;0;0;15.0;1.84;1.42;3.41;4.04
18;15;10;4.04;4.79;3.15;12;20;12;24;0.17;NO;NO;NO;0;0;0;14.37;1.79;1.5;3.03;3.63
18;15;16;2.72;2.31;2.17;14;18;20;18;0.14;NO;SI;NO;0;2.42;0;8.81;2.72;1.29;2.04;3.09
18;15;10;2.57;4.0;3.12;10;14;20;22;0.17;SI;NO;NO;2.19;0;0;9.08;1.95;1.8;2.5;2.88
19;13;11;3.52;2.95;2.51;20;10;13;18;0.16;NO;NO;NO;0;0;0;16.42;2.39;1.3;2.79;3.47
16;18;11;2.12;3.02;3.68;13;10;15;24;0.19;NO;SI;NO;0;2.15;0;10.48;1.88;1.8;2.35;2.79
17;17;18;4.54;3.38;2.87;19;20;18;25;0.12;SI;SI;NO;3.57;2.58;0;11.3;2.08;1.0;3.36;3.84
20;13;20;4.05;2.66;2.76;16;17;14;19;0.15;NO;NO;NO;0;0;0;12.93;2.79;1.43;3.38;3.91
17;12;16;3.96;4.05;4.0;20;14;13;19;0.15;SI;NO;NO;3.99;0;0;13.11;2.37;1.23;2.97;3.52
16;15;10;4.64;2.94;2.53;19;14;13;24;0.16;SI;NO;NO;3.91;0;0;9.2;1.71;1.07;3.26;3.64
10;10;18;3.34;3.14;3.64;19;18;19;21;0.19;SI;SI;NO;2.3;2.38;0;17.98;1.81;0.95;2.73;3.48
