Quantita Prodotto A;Quantita Prodotto B;Quantita Prodotto C;Tempo per unita Prodotto A;Tempo per unita  Prodotto B;Tempo per unita Prodotto C;Capacita giornaliera Prodotto A;Capacita giornaliera Prodotto B;Capacita giornaliera Prodotto C;Capacita complessiva;Probabilita guasto;Guasto Macchina A;Guasto Macchina B;Guasto Macchina C;Ore di fermo Macchina A;Ore di fermo Macchina B;Ore di fermo Macchina C;Ore ritardo approvvigionamento;Giorni minimi per capacita complessiva;Giorni minimi per capacita  del prodotto;Giorni effettivi produzione lotto;Tempo totale di produzione lotto
16;12;15;2.03;2.63;2.6;30;17;28;31;0.03;NO;NO;NO;0;0;0;2.93;1.39;0.71;1.62;1.75
14;20;14;1.91;2.15;2.13;25;23;30;27;0.02;NO;NO;NO;0;0;0;1.88;1.78;0.87;1.79;1.87
11;20;10;1.08;1.81;1.12;20;19;29;37;0.02;NO;NO;NO;0;0;0;2.28;1.11;1.05;1.51;1.6
13;10;11;1.88;2.4;1.9;18;28;28;36;0.03;NO;NO;NO;0;0;0;2.56;0.94;0.72;1.02;1.12
15;19;10;2.52;2.76;1.92;15;18;28;24;0.02;NO;SI;NO;0;0.17;0;1.42;1.83;1.06;2.19;2.25
17;19;20;1.74;1.64;2.54;27;23;22;39;0.01;NO;NO;NO;0;0;0;1.48;1.44;0.91;2.12;2.18
12;13;13;1.7;2.08;1.51;23;29;15;28;0.01;NO;NO;NO;0;0;0;2.03;1.36;0.87;1.13;1.44
16;14;17;2.29;2.63;1.62;29;21;29;40;0.04;NO;NO;NO;0;0;0;2.73;1.18;0.67;1.53;1.65
13;14;14;2.97;1.71;1.0;26;20;27;30;0.02;NO;NO;NO;0;0;0;1.01;1.37;0.7;1.61;1.65
19;14;12;2.44;2.97;2.15;20;18;26;34;0.04;NO;NO;NO;0;0;0;2.62;1.32;0.95;1.93;2.04
18;10;13;2.33;1.42;1.38;20;20;26;40;0.01;NO;NO;NO;0;0;0;1.19;1.02;0.9;1.75;1.8
10;11;11;1.46;2.0;2.42;23;18;26;26;0.04;NO;NO;NO;0;0;0;2.06;1.23;0.61;1.11;1.32
14;16;11;2.56;2.03;1.37;17;22;28;35;0.02;NO;NO;NO;0;0;0;2.68;1.17;0.82;1.49;1.6
16;15;10;2.27;2.88;2.88;16;26;19;34;0.03;NO;NO;NO;0;0;0;1.18;1.21;1.0;1.8;1.85
17;16;15;2.77;2.97;2.01;30;24;26;34;0.03;NO;NO;NO;0;0;0;2.93;1.41;0.67;1.98;2.1
11;15;16;2.77;1.87;1.84;23;16;27;39;0.03;NO;NO;NO;0;0;0;1.36;1.08;0.94;1.27;1.33
13;14;18;1.26;1.27;2.41;15;21;21;21;0.02;NO;NO;NO;0;0;0;2.69;2.14;0.87;1.81;2.25
19;10;18;1.7;2.9;1.51;29;23;20;23;0.03;NO;NO;NO;0;0;0;1.11;2.04;0.9;1.35;2.09
13;13;14;1.02;2.35;1.24;29;29;17;30;0.04;NO;NO;NO;0;0;0;2.3;1.33;0.82;1.27;1.43
16;12;11;1.9;2.68;1.15;23;25;27;31;0.03;NO;NO;NO;0;0;0;1.72;1.26;0.7;1.34;1.41
14;19;13;1.92;1.97;1.83;29;25;15;21;0.05;NO;NO;NO;0;0;0;1.14;2.19;0.87;1.56;2.24
15;19;18;1.35;1.8;2.63;25;17;22;33;0.03;NO;NO;SI;0;0;0.11;1.65;1.58;1.12;1.98;2.05
13;20;20;1.44;1.4;2.23;15;18;23;20;0.03;NO;NO;NO;0;0;0;2.58;2.65;1.11;1.86;2.76
17;10;18;1.28;2.6;2.1;18;24;25;21;0.02;NO;NO;NO;0;0;0;1.33;2.14;0.94;1.58;2.2
16;14;20;2.67;1.47;2.5;25;30;26;28;0.03;NO;NO;NO;0;0;0;2.97;1.79;0.77;2.08;2.21
